Customer_ID,Name,Age,City,Product,Quantity,Price,Purchase_Date,Email,Status,Total_Amount
1034,Evan,20,Cebu,Laptop,2,423.79,45292,user0@gmail.com,Pending,847.58
1086,Alice,23,Cebu,Tablet,5,104.15,45292,user1@gmail.com,Paid,520.75
1080,Charlie,20,Cebu,Headset,1,71.13,45293,user2@gmail.com,Paid,71.13
1089,Bob,20,Cebu,Phone,4,222.84,45352,user3@gmail.com,Paid,891.36
1007,Frunk,24,Manila,Tablet,10,66.53,45295,user4@gmail.com,Pending,665.3
1092,Bob,23,Cebu,Laptop,10,480.77,45296,user5@gmail.com,Pending,4807.7
1025,Chalie,21,Cagayan de Oro,Phone,2,421.79,45297,user6@gmail.com,Paid,843.58
1073,Alice,20,Manila,Laptop,1,410.35,45298,user7@gmail.com,Paid,410.35
1089,Bob,20,Manila,Tablet,5,333.4,45299,user8@gmail.com,Pending,1667
1033,Charlie,20,Cagayan de Oro,Laptop,10,147.35,45300,user9@gmail.com,Paid,1473.5
1006,Evan,20,Cebu,Headset,10,283.22,45301,user10@gmail.com,Paid,2832.2
1067,Alice,23,Cebu,Laptop,1,318.77,45302,user11@gmail.com,Pending,318.77
1057,Evan,21,Cebu,Phone,50,286.26,45302,user12@gmail.com,Paid,14313
1074,Danna,23,Cagayan de Oro,Laptop,5,167.11,45303,user13@gmail.com,Paid,835.55
1028,Alice,23,Cagayan de Oro,Laptop,1,281.86,45304,user14@gmail.com,Pending,281.86
1035,Frank,20,Cagayan de Oro,Phone,10,271.03,45305,user15@gmail.com,Paid,2710.3
1088,Charlie,20,Cagayan de Oro,Tablet,5,498.35,45306,user16@gmail.com,Pending,2491.75
1020,Dana,24,Cebu,Tablet,10,453.85,45307,user17@gmail.com,Pending,4538.5
1035,Danna,23,Cebu,Phone,10,258.52,45308,user18@gmail.com,Paid,2585.2
1009,Alice,20,Cagayan de Oro,Headset,5,330.32,45309,user19@gmail.com,Paid,1651.6
1072,Chalie,23,Manila,Tablet,2,386.54,45310,user20@gmail.com,Paid,773.08
1023,Alice,21,Manila,Headset,10,65.69,45311,user21@gmail.com,Pending,656.9
1063,Alice,22,Cebu,Laptop,5,452.71,45312,user22@gmail.com,Paid,2263.55
1098,Alice,20,Cebu,Headset,50,437.06,45312,user23@gmail.com,Pending,21853
1048,Frank,24,Cagayan de Oro,Laptop,1,255.84,45313,user24@gmail.com,Unknown,255.84
1098,Charlie,21,Cebu,Headset,1,226.03,45314,user25@gmail.com,Paid,226.03
1035,Evan,20,Cagayan de Oro,Tablet,1,172.83,45315,user26@gmail.com,Paid,172.83
1081,Evan,23,Manila,Tablet,5,264.5,45316,user27@gmail.com,Unknown,1322.5
1095,Chalie,20,Manila,Headset,1,69.97,45317,user28@gmail.com,Paid,69.97
1023,Frank,23,Cagayan de Oro,Phone,2,433.49,45318,user29@gmail.com,Unknown,866.98
1022,Frank,21,Cebu,Phone,10,65.94,45319,user30@gmail.com,Pending,659.4
1061,Alice,20,Cagayan de Oro,Headset,1,198.07,45320,user31@gmail.com,Pending,198.07
1095,Alice,23,Cebu,Phone,3,469.22,45321,user32@gmail.com,Paid,1407.66
1036,Alice,23,Cagayan de Oro,Tablet,5,380.85,45322,user33@gmail.com,Paid,1904.25
1011,Evan,20,Cebu,Headset,4,176.63,45322,user34@gmail.com,Paid,706.52
1054,Bob,23,Cagayan de Oro,Tablet,3,163.69,45323,user35@gmail.com,Paid,491.07
1012,Alice,22,Cebu,Tablet,1,52.29,45324,user36@gmail.com,Pending,52.29
1022,Charlie,21,Cebu,Laptop,5,363.07,45325,user37@gmail.com,Pending,1815.35
1088,Dana,20,Manila,Tablet,5,71.95,45326,user38@gmail.com,Unknown,359.75
1098,Chalie,24,Cagayan de Oro,Tablet,4,289.67,45327,user39@gmail.com,Paid,1158.68
1029,Frunk,23,Cagayan de Oro,Tablet,1,482.95,45328,user40@gmail.com,Unknown,482.95
1016,Alice,23,Manila,Headset,50,99.26,45475,user41@gmail.com,Unknown,4963
1061,Charlie,21,Cebu,Headset,5,452.52,45330,user42@gmail.com,Pending,2262.6
1083,Charlie,23,Cagayan de Oro,Phone,3,496.16,45331,user43@gmail.com,Paid,1488.48
1088,Chalie,21,Cagayan de Oro,Laptop,10,77.68,45332,user44@gmail.com,Unknown,776.8
1085,Bob,22,Manila,Laptop,2,447.31,45332,user45@gmail.com,Paid,894.62
1012,Charlie,23,Manila,Tablet,50,282.24,45333,user46@gmail.com,Paid,14112
